bench,direction,bytes,size_label,host_pinned,non_blocking,repetitions,status,min_ms,median_ms,best_gbps,error
npu_copy,h2d,4096,4K,0,0,5,measurable,0.08186,0.08646,0.0466,
npu_copy,d2h,4096,4K,0,0,5,measurable,0.07047,0.07534,0.054132,
npu_copy,h2d,4096,4K,0,1,5,measurable,0.07937,0.08007,0.048062,
npu_copy,d2h,4096,4K,0,1,5,measurable,0.08331,0.08414,0.045789,
npu_copy,h2d,4096,4K,1,0,5,measurable,0.06969,0.07,0.054738,
npu_copy,d2h,4096,4K,1,0,5,measurable,0.06803,0.07014,0.056074,
npu_copy,h2d,4096,4K,1,1,5,measurable,0.04851,0.04988,0.078638,
npu_copy,d2h,4096,4K,1,1,5,measurable,0.04819,0.0498,0.079159,
npu_copy,h2d,16384,16K,0,0,5,measurable,0.0748,0.07642,0.203994,
npu_copy,d2h,16384,16K,0,0,5,measurable,0.06973,0.07165,0.218827,
npu_copy,h2d,16384,16K,0,1,5,measurable,0.07955,0.08358,0.191814,
npu_copy,d2h,16384,16K,0,1,5,measurable,0.08414,0.0869,0.18135,
npu_copy,h2d,16384,16K,1,0,5,measurable,0.06899,0.07008,0.221174,
npu_copy,d2h,16384,16K,1,0,5,measurable,0.06584,0.06616,0.231755,
npu_copy,h2d,16384,16K,1,1,5,measurable,0.04658,0.04892,0.327582,
npu_copy,d2h,16384,16K,1,1,5,measurable,0.04998,0.05389,0.305299,
npu_copy,h2d,65536,64K,0,0,5,measurable,0.07792,0.07868,0.783305,
npu_copy,d2h,65536,64K,0,0,5,measurable,0.0735,0.07446,0.830411,
npu_copy,h2d,65536,64K,0,1,5,measurable,0.08274,0.08526,0.737675,
npu_copy,d2h,65536,64K,0,1,5,measurable,0.08376,0.08945,0.72869,
npu_copy,h2d,65536,64K,1,0,5,measurable,0.06858,0.07041,0.889984,
npu_copy,d2h,65536,64K,1,0,5,measurable,0.06582,0.0683,0.927307,
npu_copy,h2d,65536,64K,1,1,5,measurable,0.04555,0.04782,1.339958,
npu_copy,d2h,65536,64K,1,1,5,measurable,0.04749,0.05091,1.285221,
npu_copy,h2d,1048576,1M,0,0,5,measurable,0.24191,0.25426,4.036882,
npu_copy,d2h,1048576,1M,0,0,5,measurable,0.17956,0.18643,5.438644,
npu_copy,h2d,1048576,1M,0,1,5,measurable,0.24416,0.24883,3.99968,
npu_copy,d2h,1048576,1M,0,1,5,measurable,0.18952,0.19814,5.152822,
npu_copy,h2d,1048576,1M,1,0,5,measurable,0.14401,0.165559,6.781205,
npu_copy,d2h,1048576,1M,1,0,5,measurable,0.13222,0.13678,7.385885,
npu_copy,h2d,1048576,1M,1,1,5,measurable,0.09879,0.12085,9.885232,
npu_copy,d2h,1048576,1M,1,1,5,measurable,0.10768,0.11272,9.069118,
npu_copy,h2d,16777216,16M,0,0,5,measurable,2.8024,2.878669,5.575578,
npu_copy,d2h,16777216,16M,0,0,5,measurable,2.5728,2.596949,6.07315,
npu_copy,h2d,16777216,16M,0,1,5,measurable,2.16523,2.22473,7.216323,
npu_copy,d2h,16777216,16M,0,1,5,measurable,2.95413,2.991829,5.289205,
npu_copy,h2d,16777216,16M,1,0,5,measurable,1.2559,1.26004,12.441276,
npu_copy,d2h,16777216,16M,1,0,5,measurable,0.893959,0.90121,17.478429,
npu_copy,h2d,16777216,16M,1,1,5,measurable,1.595609,1.63152,9.7925,
npu_copy,d2h,16777216,16M,1,1,5,measurable,1.19702,1.24635,13.053248,
npu_copy,h2d,67108864,64M,0,0,5,measurable,6.914568,6.981758,9.038887,
npu_copy,d2h,67108864,64M,0,0,5,measurable,3.13907,3.495149,19.910356,
npu_copy,h2d,67108864,64M,0,1,5,measurable,7.884058,8.049639,7.92739,
npu_copy,d2h,67108864,64M,0,1,5,measurable,4.285619,4.33365,14.583657,
npu_copy,h2d,67108864,64M,1,0,5,measurable,4.890499,4.916639,12.779882,
npu_copy,d2h,67108864,64M,1,0,5,measurable,3.334289,3.347639,18.744625,
npu_copy,h2d,67108864,64M,1,1,5,measurable,6.443129,6.842668,9.700256,
npu_copy,d2h,67108864,64M,1,1,5,measurable,4.826209,5.000929,12.950123,
npu_copy,h2d,268435456,256M,0,0,5,measurable,40.300541,41.050491,6.203391,
npu_copy,d2h,268435456,256M,0,0,5,measurable,31.119933,31.361283,8.033436,
npu_copy,h2d,268435456,256M,0,1,5,measurable,30.234664,30.605083,8.268655,
npu_copy,d2h,268435456,256M,0,1,5,measurable,30.690583,31.428323,8.145821,
npu_copy,h2d,268435456,256M,1,0,5,measurable,10.385548,10.392708,24.071912,
npu_copy,d2h,268435456,256M,1,0,5,measurable,9.684518,9.694728,25.814398,
npu_copy,h2d,268435456,256M,1,1,5,measurable,11.968848,12.004527,20.887557,
npu_copy,d2h,268435456,256M,1,1,5,measurable,12.593307,12.752267,19.851815,
npu_copy,h2d,1073741824,1G,0,0,5,measurable,116.017524,118.052504,8.619388,
npu_copy,d2h,1073741824,1G,0,0,5,measurable,60.061597,60.413986,16.649574,
npu_copy,h2d,1073741824,1G,0,1,5,measurable,115.552724,118.073693,8.654058,
npu_copy,d2h,1073741824,1G,0,1,5,measurable,60.070987,60.197697,16.646971,
npu_copy,h2d,1073741824,1G,1,0,5,measurable,41.128711,41.14712,24.313915,
npu_copy,d2h,1073741824,1G,1,0,5,measurable,37.763332,37.764312,26.480714,
npu_copy,h2d,1073741824,1G,1,1,5,measurable,43.19543,43.22749,23.150597,
npu_copy,d2h,1073741824,1G,1,1,5,measurable,44.49217,50.457489,22.475865,
