prompt_id	context_len_bucket	estimated_prompt_tokens	materialized_char_count_manifest	char_count	byte_count	full_token_count	bucket_status	truncated_4096	truncated_8192	truncated_16384	truncated_32768	status	error_type	error
P000	512	420	4357	4357	4357	1184	above_range	1184	1184	1184	1184	success		
P001	1K	980	6299	6299	6299	1764	above_range	1764	1764	1764	1764	success		
P002	4K	3600	19739	19739	19739	5556	above_range	4096	5556	5556	5556	success		
P003	8K	7600	39264	39264	39264	11144	above_range	4096	8192	11144	11144	success		
P004	8K	7900	40870	40870	40870	11656	above_range	4096	8192	11656	11656	success		
P005	16K	15200	75549	75549	75549	21569	above_range	4096	8192	16384	21569	success		
P006	16K	15800	78825	78825	78825	22490	above_range	4096	8192	16384	22490	success		
P007	4K	3900	21650	21650	21650	5972	above_range	4096	5972	5972	5972	success		
P008	4K	3950	21648	21648	21648	5975	above_range	4096	5975	5975	5975	success		
P009	8K	7800	38984	38984	38984	11094	above_range	4096	8192	11094	11094	success		
P010	32K	31000	151195	151195	151195	43216	above_range	4096	8192	16384	32768	success		
P011	4K	3800	21050	21050	21050	5972	above_range	4096	5972	5972	5972	success		
P012	8K	7600	39191	39191	39191	11128	above_range	4096	8192	11128	11128	success		
