metric_name	paired_case_count	on_sum	off_sum	delta_sum_on_minus_off	policy
aic_total_time_sum	16	51958350.869637	88799016.338125	-36840665.468488	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
aiv_total_time_sum	16	42619417.452596	69722916.118224	-27103498.665628	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
aic_mte2_time_sum	16	31131811.947126	54017440.259895	-22885628.312769	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
aic_mac_time_sum	16	17050416.024322	37021267.174348	-19970851.150026	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
aic_mte1_time_sum	16	16510688.002252	31908496.823624	-15397808.821372	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
aic_scalar_time_sum	16	26067554.490971	39749264.303011	-13681709.81204	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
aiv_scalar_time_sum	16	16484666.342067	27302219.038459	-10817552.696392	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
aiv_vec_time_sum	16	10949911.812464	19283635.525573	-8333723.713109	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
aic_fixpipe_time_sum	16	4856923.732713	12257814.479098	-7400890.746385	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
aiv_mte2_time_sum	16	6781833.465393	12334108.813159	-5552275.347766	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
aiv_mte3_time_sum	16	4911802.063733	9208921.991837	-4297119.928104	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
metric_row_count	16	1548504	1691217	-142713	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
aiv_mte2_ratio_avg	16	3.228545	3.856802	-0.628257	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
aiv_mte3_ratio_avg	16	1.89168	2.251662	-0.359982	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
aiv_vec_ratio_avg	16	1.751047	2.007538	-0.256491	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
aic_mac_ratio_extra_avg	16	0.798332	1.00457	-0.206238	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
aiv_scalar_ratio_avg	16	3.691501	3.587697	0.103804	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
aic_mte1_ratio_extra_avg	16	0.914177	0.9985	-0.084323	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
aic_fixpipe_ratio_avg	16	0.231171	0.311664	-0.080493	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
aic_mte2_ratio_avg	16	2.108067	2.042402	0.065665	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
aic_scalar_ratio_avg	16	1.404595	1.382312	0.022283	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
