op_type	paired_case_count	on_task_row_count_sum	off_task_row_count_sum	on_total_duration_time_sum	off_total_duration_time_sum	delta_task_row_count_sum_on_minus_off	delta_total_duration_time_sum_on_minus_off	policy
chunk_gated_delta_rule_fwd_kernel_h_blockdim64	16	30496	38216	17311763603	33179890312	-7720	-15868126709	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
MatMulV2	16	167218	170909	20239549611	34475360263	-3691	-14235810652	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
CausalConv1d	16	15239	19104	10487901528	24629834390	-3865	-14141932862	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
recompute_w_u_fwd_kernel	16	30494	38214	9660989025	18019668386	-7720	-8358679361	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
chunk_fwd_kernel_o	16	30496	38224	8108074136	15377498301	-7728	-7269424165	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
FusedInferAttentionScore	16	22268	23094	9492918027	15772239684	-826	-6279321657	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
merge_16x16_to_64x64_inverse_kernel	16	30492	38210	6086506505	10725511944	-7718	-4639005439	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
MatMulV3	16	45698	49957	8267565817	12618105508	-4259	-4350539691	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
IndexPutV2	16	18183	25703	4877603831	7319644260	-7520	-2442040429	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
solve_tril_16x16_kernel	16	15245	19105	4426090481	6434821014	-3860	-2008730533	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
Index	16	27881	32215	5390248313	7136993729	-4334	-1746745416	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
chunk_scaled_dot_kkt_fwd_kernel	16	30490	38210	2243215931	3719347816	-7720	-1476131885	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
	16	97313	92964	609826971	2052577686	4349	-1442750715	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
AddRmsNormBias	16	89064	92384	1580369162	2885138817	-3320	-1304769655	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
TensorMove	16	0	58126	0	817490560	-58126	-817490560	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
_layer_norm_fwd_1pass_kernel_npu	16	33402	34647	857015530	1668388849	-1245	-811373319	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
Slice	16	226458	237023	1350542074	2139803580	-10565	-789261506	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
SwiGlu	16	44531	46193	1086144022	1800825379	-1662	-714681357	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
_causal_conv1d_update_kernel_npu_tiled	13	15808	0	516701942	0	15808	516701942	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
fused_sigmoid_gating_delta_rule_update_kernel	16	18154	15537	1823806432	1397336894	2617	426469538	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
Transpose	16	124870	149281	2071083000	2355368180	-24411	-284285180	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
Cumsum	3	3159	0	102233323	0	3159	102233323	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
