case_id	prompt_id	prefix_reuse_group	on_task_row_count	off_task_row_count	delta_task_row_count_on_minus_off	on_total_duration_time	off_total_duration_time	delta_total_duration_time_on_minus_off	on_total_wait_time	off_total_wait_time	delta_total_wait_time_on_minus_off	policy
P003_api_continuous16_system_001_cap8192_gen64	P003	system_long_a	114050	127690	-13640	7222237293	12727652712	-5505415419	0	0	0	raw_counter_delta_no_performance_or_hit_rate_claim
P003_api_continuous16_system_002_cap8192_gen64	P003	system_long_a	113110	129040	-15930	7121698920	12614951593	-5493252673	0	0	0	raw_counter_delta_no_performance_or_hit_rate_claim
P007_api_continuous16_prefix_first_cap8192_gen64	P007	prefix_group_a	103951	111446	-7495	7938382177	13561691708	-5623309531	0	0	0	raw_counter_delta_no_performance_or_hit_rate_claim
P008_api_continuous16_prefix_second_cap8192_gen64	P008	prefix_group_a	106438	113040	-6602	7949565557	13548263820	-5598698263	0	0	0	raw_counter_delta_no_performance_or_hit_rate_claim
P009_api_continuous16_moe_001_cap8192_gen64	P009	none	112662	128507	-15845	7030958298	12467296719	-5436338421	0	0	0	raw_counter_delta_no_performance_or_hit_rate_claim
P009_api_continuous16_moe_002_cap8192_gen64	P009	none	110936	126999	-16063	6914848208	12291749445	-5376901237	0	0	0	raw_counter_delta_no_performance_or_hit_rate_claim
P011_api_continuous16_burst_001_cap4096_gen64	P011	burst_prefix_a	108122	113791	-5669	7918359836	13503419946	-5585060110	0	0	0	raw_counter_delta_no_performance_or_hit_rate_claim
P011_api_continuous16_burst_002_cap4096_gen64	P011	burst_prefix_a	108180	114582	-6402	7855298712	13463009537	-5607710825	0	0	0	raw_counter_delta_no_performance_or_hit_rate_claim
P011_api_continuous16_burst_003_cap4096_gen64	P011	burst_prefix_a	108211	115370	-7159	7800903961	13415863459	-5614959498	0	0	0	raw_counter_delta_no_performance_or_hit_rate_claim
P011_api_continuous16_burst_004_cap4096_gen64	P011	burst_prefix_a	108408	116204	-7796	7752625426	13369213035	-5616587609	0	0	0	raw_counter_delta_no_performance_or_hit_rate_claim
P012_api_continuous16_001_cap8192_gen64	P012	continuous_prefix_a	113820	118477	-4657	7800283959	13360067301	-5559783342	0	0	0	raw_counter_delta_no_performance_or_hit_rate_claim
P012_api_continuous16_002_cap8192_gen64	P012	continuous_prefix_a	113041	120031	-6990	7667960897	13269555696	-5601594799	0	0	0	raw_counter_delta_no_performance_or_hit_rate_claim
P012_api_continuous16_003_cap8192_gen64	P012	continuous_prefix_a	112082	121601	-9519	7572646503	13171958260	-5599311757	0	0	0	raw_counter_delta_no_performance_or_hit_rate_claim
P012_api_continuous16_004_cap8192_gen64	P012	continuous_prefix_a	111122	123037	-11915	7473436096	13057666254	-5584230158	0	0	0	raw_counter_delta_no_performance_or_hit_rate_claim
P012_api_continuous16_005_cap8192_gen64	P012	continuous_prefix_a	110231	124630	-14399	7373549797	12949902590	-5576352793	0	0	0	raw_counter_delta_no_performance_or_hit_rate_claim
P012_api_continuous16_006_cap8192_gen64	P012	continuous_prefix_a	109422	126141	-16719	7236183119	12841138932	-5604955813	0	0	0	raw_counter_delta_no_performance_or_hit_rate_claim
