metric_name	paired_case_count	on_sum	off_sum	delta_sum_on_minus_off	policy
aic_total_time_sum	32	137224060.115293	327637997.728654	-190413937.613361	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
aiv_total_time_sum	32	123025107.156485	273062927.477468	-150037820.320983	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
aic_mte2_time_sum	32	77554792.113519	185304563.951355	-107749771.837836	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
aic_mac_time_sum	32	43077791.146894	133932185.331002	-90854394.184108	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
aic_scalar_time_sum	32	71254873.17512	150992806.499144	-79737933.324024	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
aic_mte1_time_sum	32	41340306.958981	113366411.267178	-72026104.308197	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
aiv_scalar_time_sum	32	48812620.380901	107690885.640549	-58878265.259648	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
aiv_vec_time_sum	32	32721721.925091	76875046.968658	-44153325.043567	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
aic_fixpipe_time_sum	32	13637735.439118	45961379.447434	-32323644.008316	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
aiv_mte2_time_sum	32	18557323.957042	44374541.721841	-25817217.764799	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
aiv_mte3_time_sum	32	13229341.330504	33749997.642012	-20520656.311508	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
metric_row_count	32	3503614	4979555	-1475941	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
aiv_mte2_ratio_avg	32	6.851101	8.403955	-1.552854	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
aiv_mte3_ratio_avg	32	4.004534	5.021815	-1.017281	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
aiv_vec_ratio_avg	32	3.54838	4.342895	-0.794515	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
aic_mac_ratio_extra_avg	32	1.711667	2.303221	-0.591554	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
aic_mte2_ratio_avg	32	4.064974	3.526444	0.53853	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
aiv_scalar_ratio_avg	32	7.432792	7.003074	0.429718	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
aic_scalar_ratio_avg	32	2.940556	2.604533	0.336023	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
aic_fixpipe_ratio_avg	32	0.469603	0.712497	-0.242894	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
aic_mte1_ratio_extra_avg	32	1.814654	2.048674	-0.23402	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
