op_type	paired_case_count	on_task_row_count_sum	off_task_row_count_sum	on_total_duration_time_sum	off_total_duration_time_sum	delta_task_row_count_sum_on_minus_off	delta_total_duration_time_sum_on_minus_off	policy
chunk_gated_delta_rule_fwd_kernel_h_blockdim64	32	73204	136956	51242064805	137358833185	-63752	-86116768380	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
CausalConv1d	32	36589	68477	33169663844	104855723461	-31888	-71686059617	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
MatMulV2	32	356338	360909	47090120059	109938715544	-4571	-62848595485	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
recompute_w_u_fwd_kernel	32	73200	136952	27624646975	74233032329	-63752	-46608385354	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
chunk_fwd_kernel_o	32	73208	136958	23904777422	63414057853	-63750	-39509280431	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
merge_16x16_to_64x64_inverse_kernel	32	73200	136950	19642875718	46210296379	-63750	-26567420661	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
FusedInferAttentionScore	32	48732	56710	28859353369	54722358269	-7978	-25863004900	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
MatMulV3	32	109540	181410	19832876159	45641993547	-71870	-25809117388	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
IndexPutV2	32	42070	91235	14748072558	33225463623	-49165	-18477391065	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
Index	32	64414	100881	19444975948	36486562796	-36467	-17041586848	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
solve_tril_16x16_kernel	32	36600	68474	15617459725	31893197759	-31874	-16275738034	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
chunk_scaled_dot_kkt_fwd_kernel	32	73196	136948	5827354111	14167168143	-63752	-8339814032	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
	32	147683	190153	884323296	8141858506	-42470	-7257535210	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
AddRmsNormBias	32	194889	226851	3923422542	9974458202	-31962	-6051035660	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
fused_sigmoid_gating_delta_rule_update_kernel	32	36474	11461	6506205934	955336663	25013	5550869271	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
Slice	32	498184	605604	3039115688	7122960231	-107420	-4083844543	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
_layer_norm_fwd_1pass_kernel_npu	32	73078	85073	2057134965	5889096488	-11995	-3831961523	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
SwiGlu	32	97447	113425	2774081133	6059785446	-15978	-3285704313	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
Transpose	32	292659	495917	4614650160	7380103080	-203258	-2765452920	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
split_qkv_rmsnorm_mrope_kernel	30	0	26215	0	2531314250	-26215	-2531314250	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
TensorMove	25	24862	162224	253814920	2174913460	-137362	-1921098540	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
_causal_conv1d_update_kernel_npu_tiled	26	33393	0	1616698645	0	33393	1616698645	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
Cumsum	12	15914	0	530409752	0	15914	530409752	raw_counter_readout_no_benchmark_hit_rate_or_bottleneck_claim
