mode	db_path	case_id	prompt_id	prefix_reuse_group	metric_row_count	aic_total_time_sum	aiv_total_time_sum	aic_mac_time_sum	aic_scalar_time_sum	aic_mte1_time_sum	aic_mte2_time_sum	aic_fixpipe_time_sum	aiv_vec_time_sum	aiv_scalar_time_sum	aiv_mte2_time_sum	aiv_mte3_time_sum	aic_mac_ratio_extra_avg	aic_scalar_ratio_avg	aic_mte1_ratio_extra_avg	aic_mte2_ratio_avg	aic_fixpipe_ratio_avg	aiv_vec_ratio_avg	aiv_scalar_ratio_avg	aiv_mte2_ratio_avg	aiv_mte3_ratio_avg
msprof_prefix_cache_on	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_on_msprof/PROF_000001_20260707095540199_03336901RBMCCKAI/device_6/sqlite/ai_core_op_summary.db	P007_api_continuous16_prefix_first_cap8192_gen64	P007	prefix_group_a	90680	3435055.98983	2835422.353554	1199359.869961	1737056.011828	1119241.474254	2007099.209556	344529.788831	750929.542514	1122043.10358	474868.955524	348101.670205	0.054715	0.083182	0.057614	0.122343	0.016137	0.117226	0.238868	0.218381	0.127118
msprof_prefix_cache_on	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_on_msprof/PROF_000001_20260707095540199_03336901RBMCCKAI/device_6/sqlite/ai_core_op_summary.db	P008_api_continuous16_prefix_second_cap8192_gen64	P008	prefix_group_a	92807	3436380.468437	2827095.861314	1188664.435578	1736556.936586	1116526.241425	2020674.287417	340496.151684	743666.79434	1116587.946237	471383.77623	343713.754515	0.053798	0.084293	0.057553	0.124499	0.015824	0.115895	0.238641	0.215832	0.125475
msprof_prefix_cache_on	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_on_msprof/PROF_000001_20260707095540199_03336901RBMCCKAI/device_6/sqlite/ai_core_op_summary.db	P011_api_continuous16_burst_001_cap4096_gen64	P011	burst_prefix_a	94237	3419391.519832	2805220.192157	1170449.705583	1728529.064689	1106424.633132	2018867.319571	334368.482903	732432.376252	1106355.80193	464992.340103	337330.088306	0.052973	0.085129	0.057435	0.126067	0.015551	0.11483	0.23856	0.213758	0.124139
msprof_prefix_cache_on	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_on_msprof/PROF_000001_20260707095540199_03336901RBMCCKAI/device_6/sqlite/ai_core_op_summary.db	P011_api_continuous16_burst_002_cap4096_gen64	P011	burst_prefix_a	94288	3391421.162663	2779921.940482	1154406.505027	1715945.427393	1094815.632682	2005189.253105	329003.502656	723713.817579	1095604.693137	458956.081419	332071.452853	0.052658	0.085472	0.057412	0.126743	0.015436	0.114431	0.238494	0.212863	0.123554
msprof_prefix_cache_on	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_on_msprof/PROF_000001_20260707095540199_03336901RBMCCKAI/device_6/sqlite/ai_core_op_summary.db	P011_api_continuous16_burst_003_cap4096_gen64	P011	burst_prefix_a	94308	3356437.051392	2751552.847389	1134277.274023	1700393.635612	1079892.523815	1986438.732523	322572.207197	714768.989116	1083745.581164	452307.038482	326482.649216	0.052245	0.08574	0.05731	0.127299	0.015293	0.113945	0.238586	0.211881	0.122896
msprof_prefix_cache_on	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_on_msprof/PROF_000001_20260707095540199_03336901RBMCCKAI/device_6/sqlite/ai_core_op_summary.db	P011_api_continuous16_burst_004_cap4096_gen64	P011	burst_prefix_a	94390	3329135.110657	2729046.196589	1118349.09577	1688123.45183	1068300.916264	1972511.8916	317457.079124	707580.514966	1074491.107803	446943.288028	322007.611031	0.051926	0.086097	0.057292	0.128013	0.015176	0.113519	0.238573	0.210986	0.122281
msprof_prefix_cache_on	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_on_msprof/PROF_000001_20260707095540199_03336901RBMCCKAI/device_6/sqlite/ai_core_op_summary.db	P012_api_continuous16_001_cap8192_gen64	P012	continuous_prefix_a	99165	3356286.989708	2731823.019201	1107406.739798	1694403.052363	1070439.724954	2010514.906003	314664.576737	703294.09759	1072157.380921	445570.361444	318940.550106	0.050369	0.088085	0.057223	0.131574	0.014663	0.111556	0.238543	0.206981	0.119737
msprof_prefix_cache_on	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_on_msprof/PROF_000001_20260707095540199_03336901RBMCCKAI/device_6/sqlite/ai_core_op_summary.db	P012_api_continuous16_002_cap8192_gen64	P012	continuous_prefix_a	98512	3295498.059874	2683737.543411	1077097.424764	1660691.918224	1045650.550764	1976275.083382	307427.328825	689024.279567	1052366.969345	435049.417471	310370.787815	0.049896	0.088309	0.057123	0.132343	0.014525	0.110973	0.238499	0.206095	0.119021
msprof_prefix_cache_on	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_on_msprof/PROF_000001_20260707095540199_03336901RBMCCKAI/device_6/sqlite/ai_core_op_summary.db	P012_api_continuous16_003_cap8192_gen64	P012	continuous_prefix_a	97727	3252513.33599	2649122.346167	1055862.109751	1637115.541	1028031.591842	1951593.901173	302341.226111	678396.644446	1038509.398834	427683.343453	304654.299741	0.049495	0.088602	0.057078	0.133227	0.014369	0.110454	0.23832	0.205234	0.118538
msprof_prefix_cache_on	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_on_msprof/PROF_000001_20260707095540199_03336901RBMCCKAI/device_6/sqlite/ai_core_op_summary.db	P012_api_continuous16_004_cap8192_gen64	P012	continuous_prefix_a	97045	3213307.566112	2617768.158447	1035883.510397	1615551.399152	1011519.956882	1928697.199856	297559.74454	668433.090405	1025964.218078	420787.544237	299309.168012	0.049101	0.088909	0.057031	0.134076	0.014229	0.10995	0.238132	0.204437	0.118056
msprof_prefix_cache_on	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_on_msprof/PROF_000001_20260707095540199_03336901RBMCCKAI/device_6/sqlite/ai_core_op_summary.db	P012_api_continuous16_005_cap8192_gen64	P012	continuous_prefix_a	96358	3171608.948212	2583294.251914	1015271.87054	1592493.179265	994528.879556	1905233.53787	292251.474207	657773.357563	1011987.280749	413258.660484	293478.087119	0.0487	0.089231	0.057	0.135006	0.014073	0.109416	0.237957	0.203557	0.117529
msprof_prefix_cache_on	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_on_msprof/PROF_000001_20260707095540199_03336901RBMCCKAI/device_6/sqlite/ai_core_op_summary.db	P012_api_continuous16_006_cap8192_gen64	P012	continuous_prefix_a	95652	3099325.024868	2527946.184032	978274.58849	1552064.714813	964580.822972	1865022.214389	283851.38103	642660.011782	989523.620896	401483.234495	284028.374831	0.04816	0.08947	0.056892	0.135899	0.013926	0.108777	0.238187	0.202365	0.116601
msprof_prefix_cache_on	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_on_msprof/PROF_000001_20260707095540199_03336901RBMCCKAI/device_6/sqlite/ai_core_op_summary.db	P003_api_continuous16_system_001_cap8192_gen64	P003	system_long_a	99245	3107603.89156	2509590.887956	962651.841661	1550482.357582	960810.645697	1887031.624235	279565.169189	635641.155727	980683.87515	397455.282384	279925.337965	0.04706	0.0924	0.057371	0.14023	0.013359	0.108215	0.238145	0.199236	0.114718
msprof_prefix_cache_on	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_on_msprof/PROF_000001_20260707095540199_03336901RBMCCKAI/device_6/sqlite/ai_core_op_summary.db	P003_api_continuous16_system_002_cap8192_gen64	P003	system_long_a	98357	3064706.992888	2475600.770134	941634.989328	1527137.956038	943332.78769	1862022.630357	274655.20736	626514.414364	967384.011581	390531.947508	274818.161386	0.04672	0.09293	0.057439	0.141388	0.013203	0.10796	0.237952	0.198458	0.114234
msprof_prefix_cache_on	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_on_msprof/PROF_000001_20260707095540199_03336901RBMCCKAI/device_6/sqlite/ai_core_op_summary.db	P009_api_continuous16_moe_001_cap8192_gen64	P009	none	97461	3022344.724302	2441193.848419	921028.790639	1503956.644638	926210.107598	1837510.247566	269681.945182	617075.124506	953872.157397	383447.947728	269600.634389	0.046403	0.093478	0.057535	0.142603	0.01305	0.107697	0.237757	0.197657	0.113738
msprof_prefix_cache_on	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_on_msprof/PROF_000001_20260707095540199_03336901RBMCCKAI/device_6/sqlite/ai_core_op_summary.db	P009_api_continuous16_moe_002_cap8192_gen64	P009	none	96310	2975980.808476	2404181.722956	900559.401279	1478931.821824	908611.698266	1810683.241899	264535.427559	607112.092398	939214.204545	376167.770107	264262.358909	0.046127	0.093817	0.057582	0.143556	0.012924	0.107429	0.237564	0.196991	0.113338
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/ai_core_op_summary.db	P007_api_continuous16_prefix_first_cap8192_gen64	P007	prefix_group_a	97359	5677270.82413	4440104.047841	2481341.60772	2550495.299528	2094364.274389	3419242.900061	820235.784259	1248702.342403	1743302.296319	822532.628432	627167.837304	0.069168	0.083975	0.063337	0.115252	0.022029	0.132658	0.221076	0.254794	0.14993
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/ai_core_op_summary.db	P008_api_continuous16_prefix_second_cap8192_gen64	P008	prefix_group_a	98770	5663949.186007	4420542.210584	2467070.159499	2543921.081787	2086831.342649	3420585.400121	815037.356607	1239324.408472	1733531.04094	817283.734501	621700.935796	0.068279	0.084906	0.063238	0.117031	0.021689	0.131551	0.221111	0.252268	0.148336
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/ai_core_op_summary.db	P011_api_continuous16_burst_001_cap4096_gen64	P011	burst_prefix_a	99395	5635849.642554	4390573.586789	2447526.645129	2531171.692506	2073603.856531	3408874.629678	808417.143274	1226751.612446	1720178.980443	809570.230773	614516.498021	0.067649	0.085537	0.063145	0.118164	0.021454	0.130834	0.221144	0.250584	0.14726
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/ai_core_op_summary.db	P011_api_continuous16_burst_002_cap4096_gen64	P011	burst_prefix_a	100135	5613830.946691	4366821.820437	2431980.100804	2520928.651745	2063548.511459	3401707.617586	802822.250183	1217929.143789	1709328.921409	803626.194472	609155.15987	0.067073	0.086203	0.063106	0.119395	0.021224	0.130134	0.221167	0.248906	0.146201
