case_id	prompt_id	prefix_reuse_group	on_task_row_count	off_task_row_count	delta_task_row_count_on_minus_off	on_total_duration_time	off_total_duration_time	delta_total_duration_time_on_minus_off	on_total_wait_time	off_total_wait_time	delta_total_wait_time_on_minus_off	policy
P003_api_continuous16_system_001_cap8192_gen64	P003	system_long_a	113097	66203	46894	7252277698	8799825712	-1547548014	0	0	0	raw_counter_delta_no_performance_or_hit_rate_claim
P003_api_continuous16_system_002_cap8192_gen64	P003	system_long_a	112103	73570	38533	7156100175	9954990597	-2798890422	0	0	0	raw_counter_delta_no_performance_or_hit_rate_claim
P007_api_continuous16_prefix_first_cap8192_gen64	P007	prefix_group_a	103243	111081	-7838	7924583165	13042759370	-5118176205	0	0	0	raw_counter_delta_no_performance_or_hit_rate_claim
P008_api_continuous16_prefix_second_cap8192_gen64	P008	prefix_group_a	105639	112675	-7036	7929580603	13022699720	-5093119117	0	0	0	raw_counter_delta_no_performance_or_hit_rate_claim
P009_api_continuous16_moe_001_cap8192_gen64	P009	none	111099	124366	-13267	7059293175	11837296431	-4778003256	0	0	0	raw_counter_delta_no_performance_or_hit_rate_claim
P009_api_continuous16_moe_002_cap8192_gen64	P009	none	109792	125549	-15757	6956442735	11718693749	-4762251014	0	0	0	raw_counter_delta_no_performance_or_hit_rate_claim
P011_api_continuous16_burst_001_cap4096_gen64	P011	burst_prefix_a	107287	113420	-6133	7900154944	12972017543	-5071862599	0	0	0	raw_counter_delta_no_performance_or_hit_rate_claim
P011_api_continuous16_burst_002_cap4096_gen64	P011	burst_prefix_a	107334	114244	-6910	7847798985	12925697436	-5077898451	0	0	0	raw_counter_delta_no_performance_or_hit_rate_claim
P011_api_continuous16_burst_003_cap4096_gen64	P011	burst_prefix_a	107383	114952	-7569	7784902061	12869981786	-5085079725	0	0	0	raw_counter_delta_no_performance_or_hit_rate_claim
P011_api_continuous16_burst_004_cap4096_gen64	P011	burst_prefix_a	107453	115733	-8280	7734299060	12820874759	-5086575699	0	0	0	raw_counter_delta_no_performance_or_hit_rate_claim
P012_api_continuous16_001_cap8192_gen64	P012	continuous_prefix_a	112911	118080	-5169	7782937305	12799993549	-5017056244	0	0	0	raw_counter_delta_no_performance_or_hit_rate_claim
P012_api_continuous16_002_cap8192_gen64	P012	continuous_prefix_a	112163	46847	65316	7666175445	5860480153	1805695292	0	0	0	raw_counter_delta_no_performance_or_hit_rate_claim
P012_api_continuous16_003_cap8192_gen64	P012	continuous_prefix_a	111264	49033	62231	7573280697	6191078376	1382202321	0	0	0	raw_counter_delta_no_performance_or_hit_rate_claim
P012_api_continuous16_004_cap8192_gen64	P012	continuous_prefix_a	110484	122578	-12094	7488631518	12479085318	-4990453800	0	0	0	raw_counter_delta_no_performance_or_hit_rate_claim
P012_api_continuous16_005_cap8192_gen64	P012	continuous_prefix_a	109693	124177	-14484	7398184502	12369713466	-4971528964	0	0	0	raw_counter_delta_no_performance_or_hit_rate_claim
P012_api_continuous16_006_cap8192_gen64	P012	continuous_prefix_a	108928	125613	-16685	7259151883	12264366033	-5005214150	0	0	0	raw_counter_delta_no_performance_or_hit_rate_claim
