mode	db_path	table	start_column	end_column	duration_column	row_count	min_start	max_end	overlapping_request_count	overlap_row_count_total
msprof_prefix_cache_on	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_on_msprof/PROF_000001_20260707095540199_03336901RBMCCKAI/device_6/sqlite/ai_core_op_summary.db	task_time	start_time		duration_time	132575	1085807292231459	1085879750920544	16	1749873
msprof_prefix_cache_on	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_on_msprof/PROF_000001_20260707095540199_03336901RBMCCKAI/device_6/sqlite/ascend_task.db	AscendTask	start_time		duration	132575	1085807292231459	1085879750920544	16	1749873
msprof_prefix_cache_on	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_on_msprof/PROF_000001_20260707095540199_03336901RBMCCKAI/device_6/sqlite/op_counter.db	rts_task	start_time		duration	132575	1085807292231459	1085879750920544	16	1749873
msprof_prefix_cache_on	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_on_msprof/PROF_000001_20260707095540199_03336901RBMCCKAI/host/sqlite/api_event.db	ApiData	start	end		640584	108600304234030	108607472161567	0	0
msprof_prefix_cache_on	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_on_msprof/PROF_000001_20260707095540199_03336901RBMCCKAI/msprof_20260707095741.db	CANN_API	startNs	endNs		640584	1783389341186004090	1783389412865279460	0	0
msprof_prefix_cache_on	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_on_msprof/PROF_000001_20260707095540199_03336901RBMCCKAI/msprof_20260707095741.db	TASK	startNs	endNs		132575	1783389341180241169	1783389413638930254	0	0
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/ai_core_op_summary.db	task_time	start_time		duration_time	146937	1086033056920294	1086110785370528	16	1658121
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/ascend_task.db	AscendTask	start_time		duration	146937	1086033056920294	1086110785370528	16	1658121
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/op_counter.db	rts_task	start_time		duration	146937	1086033056920294	1086110785370528	16	1658121
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/host/sqlite/api_event.db	ApiData	start	end		707529	108622880714863	108630601467650	0	0
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/msprof_20260707100142.db	CANN_API	startNs	endNs		707529	1783389566950737000	1783389644158264870	0	0
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/msprof_20260707100142.db	TASK	startNs	endNs		146937	1783389566944857964	1783389644673308198	0	0
