mode	case_id	prompt_id	prefix_reuse_group	arrival_delay_ms	cap_tokens	max_new_tokens	input_token_count	generated_token_count	request_start_ns	response_end_ns	client_wall_us	status
msprof_prefix_cache_on	P007_api_continuous16_prefix_first_cap8192_gen64	P007	prefix_group_a	0	8192	64	5972	64	1085861880334666	1085875501798381	13621463	success
msprof_prefix_cache_on	P008_api_continuous16_prefix_second_cap8192_gen64	P008	prefix_group_a	100	8192	64	5975	64	1085861980968254	1085875916912362	13935944	success
msprof_prefix_cache_on	P011_api_continuous16_burst_001_cap4096_gen64	P011	burst_prefix_a	200	4096	64	4096	64	1085862081116973	1085876232163505	14151046	success
msprof_prefix_cache_on	P011_api_continuous16_burst_002_cap4096_gen64	P011	burst_prefix_a	300	4096	64	4096	64	1085862181363382	1085876337342912	14155979	success
msprof_prefix_cache_on	P011_api_continuous16_burst_003_cap4096_gen64	P011	burst_prefix_a	400	4096	64	4096	64	1085862281640601	1085876442958250	14161317	success
msprof_prefix_cache_on	P011_api_continuous16_burst_004_cap4096_gen64	P011	burst_prefix_a	500	4096	64	4096	64	1085862381805590	1085876553300445	14171494	success
msprof_prefix_cache_on	P012_api_continuous16_001_cap8192_gen64	P012	continuous_prefix_a	600	8192	64	8192	64	1085862482129769	1085877372546532	14890416	success
msprof_prefix_cache_on	P012_api_continuous16_002_cap8192_gen64	P012	continuous_prefix_a	800	8192	64	8192	64	1085862682331317	1085877477875859	14795544	success
msprof_prefix_cache_on	P012_api_continuous16_003_cap8192_gen64	P012	continuous_prefix_a	1000	8192	64	8192	64	1085862882499755	1085877581376547	14698876	success
msprof_prefix_cache_on	P012_api_continuous16_004_cap8192_gen64	P012	continuous_prefix_a	1200	8192	64	8192	64	1085863082660364	1085877685045725	14602385	success
msprof_prefix_cache_on	P012_api_continuous16_005_cap8192_gen64	P012	continuous_prefix_a	1400	8192	64	8192	64	1085863282881502	1085877793341032	14510459	success
msprof_prefix_cache_on	P012_api_continuous16_006_cap8192_gen64	P012	continuous_prefix_a	1600	8192	64	8192	64	1085863483030030	1085877896907750	14413877	success
msprof_prefix_cache_on	P003_api_continuous16_system_001_cap8192_gen64	P003	system_long_a	1800	8192	64	8192	64	1085863683204308	1085878705834479	15022630	success
msprof_prefix_cache_on	P003_api_continuous16_system_002_cap8192_gen64	P003	system_long_a	2000	8192	64	8192	64	1085863883350956	1085878808734688	14925383	success
msprof_prefix_cache_on	P009_api_continuous16_moe_001_cap8192_gen64	P009	none	2200	8192	64	8192	57	1085864083527804	1085878909490816	14825963	success
msprof_prefix_cache_on	P009_api_continuous16_moe_002_cap8192_gen64	P009	none	2400	8192	64	8192	64	1085864283697592	1085879584644328	15300946	success
msprof_prefix_cache_off	P007_api_continuous16_prefix_first_cap8192_gen64	P007	prefix_group_a	0	8192	64	5972	64	1086089793974410	1086105880164039	16086189	success
msprof_prefix_cache_off	P008_api_continuous16_prefix_second_cap8192_gen64	P008	prefix_group_a	100	8192	64	5975	64	1086089894483488	1086106187575103	16293091	success
msprof_prefix_cache_off	P011_api_continuous16_burst_001_cap4096_gen64	P011	burst_prefix_a	200	4096	64	4096	64	1086089994685427	1086106387590731	16392905	success
msprof_prefix_cache_off	P011_api_continuous16_burst_002_cap4096_gen64	P011	burst_prefix_a	300	4096	64	4096	64	1086090095006265	1086106590853957	16495847	success
msprof_prefix_cache_off	P011_api_continuous16_burst_003_cap4096_gen64	P011	burst_prefix_a	400	4096	64	4096	64	1086090195168764	1086106790984025	16595815	success
msprof_prefix_cache_off	P011_api_continuous16_burst_004_cap4096_gen64	P011	burst_prefix_a	500	4096	64	4096	64	1086090295339213	1086106990101002	16694761	success
msprof_prefix_cache_off	P012_api_continuous16_001_cap8192_gen64	P012	continuous_prefix_a	600	8192	64	8192	64	1086090395648411	1086107390279337	16994630	success
msprof_prefix_cache_off	P012_api_continuous16_002_cap8192_gen64	P012	continuous_prefix_a	800	8192	64	8192	6	1086090595858909	1086097255859676	6660000	success
msprof_prefix_cache_off	P012_api_continuous16_003_cap8192_gen64	P012	continuous_prefix_a	1000	8192	64	8192	4	1086090796014796	1086097792332979	6996318	success
msprof_prefix_cache_off	P012_api_continuous16_004_cap8192_gen64	P012	continuous_prefix_a	1200	8192	64	8192	64	1086090996185684	1086108570488748	17574303	success
msprof_prefix_cache_off	P012_api_continuous16_005_cap8192_gen64	P012	continuous_prefix_a	1400	8192	64	8192	64	1086091196428801	1086108971237193	17774808	success
msprof_prefix_cache_off	P012_api_continuous16_006_cap8192_gen64	P012	continuous_prefix_a	1600	8192	64	8192	64	1086091396548078	1086109365026170	17968478	success
msprof_prefix_cache_off	P003_api_continuous16_system_001_cap8192_gen64	P003	system_long_a	1800	8192	64	8192	1	1086091596718816	1086101295176223	9698457	success
msprof_prefix_cache_off	P003_api_continuous16_system_002_cap8192_gen64	P003	system_long_a	2000	8192	64	8192	2	1086091796860983	1086102700303034	10903442	success
msprof_prefix_cache_off	P009_api_continuous16_moe_001_cap8192_gen64	P009	none	2200	8192	64	8192	57	1086091997098801	1086109851880708	17854781	success
msprof_prefix_cache_off	P009_api_continuous16_moe_002_cap8192_gen64	P009	none	2400	8192	64	8192	64	1086092197228328	1086110875804667	18678576	success
