mode	cell_id	input_cap_tokens	target_prefix_ratio_pct	phase	sample_count	overlapped_request_count	rss_avg_mb	rss_max_mb	pss_avg_mb	pss_max_mb	hbm_used_avg_mb	hbm_used_max_mb	hbm_free_min_mb	hbm_usage_pct_max	kv_cache_usage_pct_max	policy
prefix_cache_off	cap8192_prefix30	8192	30	prefill	2	3	5112.796875	5112.890625	4381.515625	4381.677734	57671.68	57671.68	7864.32	88.0	2.6	process_group_rss_pss_and_whole_device_hbm_occupancy_not_kv_object_bytes
prefix_cache_off	cap8192_prefix30	8192	30	decode	68	3	5113.128792	5113.152344	4381.851347	4381.861328	57671.68	57671.68	7864.32	88.0	2.6	process_group_rss_pss_and_whole_device_hbm_occupancy_not_kv_object_bytes
prefix_cache_off	cap8192_prefix60	8192	60	prefill	2	3	5112.894532	5112.992188	4380.84961	4380.978516	57671.68	57671.68	7864.32	88.0	2.6	process_group_rss_pss_and_whole_device_hbm_occupancy_not_kv_object_bytes
prefix_cache_off	cap8192_prefix60	8192	60	decode	69	3	5113.318331	5113.335938	4381.152216	4381.162109	57671.68	57671.68	7864.32	88.0	2.6	process_group_rss_pss_and_whole_device_hbm_occupancy_not_kv_object_bytes
prefix_cache_off	cap8192_prefix90	8192	90	prefill	2	3	5083.53711	5083.644531	4347.663086	4347.774414	57671.68	57671.68	7864.32	88.0	2.6	process_group_rss_pss_and_whole_device_hbm_occupancy_not_kv_object_bytes
prefix_cache_off	cap8192_prefix90	8192	90	decode	72	3	5083.8176	5083.835938	4347.930596	4347.942383	57671.68	57671.68	7864.32	88.0	2.6	process_group_rss_pss_and_whole_device_hbm_occupancy_not_kv_object_bytes
prefix_cache_off	cap16384_prefix30	16384	30	prefill	4	3	5130.93457	5131.199219	4373.442871	4373.764648	57671.68	57671.68	7864.32	88.0	4.3	process_group_rss_pss_and_whole_device_hbm_occupancy_not_kv_object_bytes
prefix_cache_off	cap16384_prefix30	16384	30	decode	71	3	5131.399648	5132.578125	4373.835484	4374.889648	57671.68	57671.68	7864.32	88.0	4.3	process_group_rss_pss_and_whole_device_hbm_occupancy_not_kv_object_bytes
prefix_cache_off	cap16384_prefix60	16384	60	prefill	4	3	5153.84961	5154.023438	4414.630371	4414.948242	57671.68	57671.68	7864.32	88.0	4.3	process_group_rss_pss_and_whole_device_hbm_occupancy_not_kv_object_bytes
prefix_cache_off	cap16384_prefix60	16384	60	decode	70	3	5154.278013	5155.335938	4415.032464	4416.087891	57671.68	57671.68	7864.32	88.0	4.3	process_group_rss_pss_and_whole_device_hbm_occupancy_not_kv_object_bytes
prefix_cache_off	cap16384_prefix90	16384	90	prefill	4	3	5173.791015	5174.019531	4414.813721	4415.067383	57671.68	57671.68	7864.32	88.0	4.3	process_group_rss_pss_and_whole_device_hbm_occupancy_not_kv_object_bytes
prefix_cache_off	cap16384_prefix90	16384	90	decode	66	3	5174.250296	5174.289062	4415.259662	4415.517578	57671.68	57671.68	7864.32	88.0	4.3	process_group_rss_pss_and_whole_device_hbm_occupancy_not_kv_object_bytes
prefix_cache_off	cap32768_prefix30	32768	30	prefill	9	3	5157.534288	5158.183594	4416.881619	4417.500977	57671.68	57671.68	7864.32	88.0	7.7	process_group_rss_pss_and_whole_device_hbm_occupancy_not_kv_object_bytes
prefix_cache_off	cap32768_prefix30	32768	30	decode	70	3	5158.689565	5165.933594	4417.997503	4425.198242	57671.68	57671.68	7864.32	88.0	7.7	process_group_rss_pss_and_whole_device_hbm_occupancy_not_kv_object_bytes
