mode	input_cap_tokens	target_prefix_ratio_pct	performance_parameter	stage	Average	Min	Max	Median	P75	P90	P99	N	unit	policy
prefix_cache_on	8192	30	E2EL	total	95932.154	95529.057	96298.216	95969.189	96133.7025	96232.4106	96291.63546	3	ms	client_wall_us_div_1000
prefix_cache_on	8192	30	TTFT	total	1979.630333	912.611	3023.619	2002.661	2513.14	2819.4274	3003.19984	3	ms	host_client_first_nonempty_text_chunk
prefix_cache_on	8192	30	TPOT	total	91.839667	91.177	92.489	91.853	92.171	92.3618	92.47628	3	ms	response_end_minus_first_token_div_generated_tokens_minus_one
prefix_cache_on	8192	30	ITL	total	90.455	90.449	90.459	90.457	90.458	90.4586	90.45896	3	ms	host_stream_inter_chunk_median_per_request_not_runtime_native_decode_event
prefix_cache_on	8192	30	InputTokens	total	8192.0	8192.0	8192.0	8192.0	8192.0	8192.0	8192.0	3	token	submitted_input_token_count
prefix_cache_on	8192	30	OutputTokens	total	1024.0	1024.0	1024.0	1024.0	1024.0	1024.0	1024.0	3	token	generated_token_count
prefix_cache_on	8192	30	OutputTokenThroughput	total	10.674326	10.633634	10.719252	10.670091	10.694671	10.70942	10.718269	3	token/s	generated_tokens_div_client_wall_time
prefix_cache_on	8192	30	PrefillTokenThroughput	total	5258.778632	2709.336064	8976.442318	4090.557513	6533.499915	7999.265357	8878.724622	3	token/s	input_tokens_div_ttft_host_client_approximation
prefix_cache_on	8192	60	E2EL	total	93296.694333	93078.785	93482.059	93329.239	93405.649	93451.495	93479.0026	3	ms	client_wall_us_div_1000
prefix_cache_on	8192	60	TTFT	total	1363.328667	706.984	1987.976	1395.026	1691.501	1869.386	1976.117	3	ms	host_client_first_nonempty_text_chunk
prefix_cache_on	8192	60	TPOT	total	89.895667	89.437	90.295	89.955	90.125	90.227	90.2882	3	ms	response_end_minus_first_token_div_generated_tokens_minus_one
prefix_cache_on	8192	60	ITL	total	89.330333	89.186	89.602	89.203	89.4025	89.5222	89.59402	3	ms	host_stream_inter_chunk_median_per_request_not_runtime_native_decode_event
prefix_cache_on	8192	60	InputTokens	total	8192.0	8192.0	8192.0	8192.0	8192.0	8192.0	8192.0	3	token	submitted_input_token_count
prefix_cache_on	8192	60	OutputTokens	total	1023.666667	1023.0	1024.0	1024.0	1024.0	1024.0	1024.0	3	token	generated_token_count
prefix_cache_on	8192	60	OutputTokenThroughput	total	10.972201	10.953974	11.001433	10.961195	10.981314	10.993385	11.000628	3	token/s	generated_tokens_div_client_wall_time
prefix_cache_on	8192	60	PrefillTokenThroughput	total	7193.438526	4120.774094	11587.249499	5872.291986	8729.770743	10444.257997	11472.950349	3	token/s	input_tokens_div_ttft_host_client_approximation
prefix_cache_on	8192	90	E2EL	total	90850.327333	90808.59	90907.673	90834.719	90871.196	90893.0822	90906.21392	3	ms	client_wall_us_div_1000
prefix_cache_on	8192	90	TTFT	total	695.235667	509.839	792.56	783.308	787.934	790.7096	792.37496	3	ms	host_client_first_nonempty_text_chunk
prefix_cache_on	8192	90	TPOT	total	88.128	88.001	88.294	88.089	88.1915	88.253	88.2899	3	ms	response_end_minus_first_token_div_generated_tokens_minus_one
prefix_cache_on	8192	90	ITL	total	87.954667	87.952	87.959	87.953	87.956	87.9578	87.95888	3	ms	host_stream_inter_chunk_median_per_request_not_runtime_native_decode_event
prefix_cache_on	8192	90	InputTokens	total	8192.0	8192.0	8192.0	8192.0	8192.0	8192.0	8192.0	3	token	submitted_input_token_count
prefix_cache_on	8192	90	OutputTokens	total	1024.0	1024.0	1024.0	1024.0	1024.0	1024.0	1024.0	3	token	generated_token_count
prefix_cache_on	8192	90	OutputTokenThroughput	total	11.271288	11.264176	11.276466	11.273223	11.274845	11.275817	11.276401	3	token/s	generated_tokens_div_client_wall_time
prefix_cache_on	8192	90	PrefillTokenThroughput	total	12287.384674	10336.125972	16067.817487	10458.210563	13263.014025	14945.896103	15955.625349	3	token/s	input_tokens_div_ttft_host_client_approximation
prefix_cache_on	16384	30	E2EL	total	99864.190667	98901.859	100779.024	99911.689	100345.3565	100605.557	100761.6773	3	ms	client_wall_us_div_1000
prefix_cache_on	16384	30	TTFT	total	3930.333667	1716.838	6113.849	3960.314	5037.0815	5683.142	6070.7783	3	ms	host_client_first_nonempty_text_chunk
prefix_cache_on	16384	30	TPOT	total	93.776667	92.536	95.0	93.794	94.397	94.7588	94.97588	3	ms	response_end_minus_first_token_div_generated_tokens_minus_one
prefix_cache_on	16384	30	ITL	total	89.826333	89.803	89.839	89.837	89.838	89.8386	89.83896	3	ms	host_stream_inter_chunk_median_per_request_not_runtime_native_decode_event
prefix_cache_on	16384	30	InputTokens	total	16384.0	16384.0	16384.0	16384.0	16384.0	16384.0	16384.0	3	token	submitted_input_token_count
prefix_cache_on	16384	30	OutputTokens	total	1024.0	1024.0	1024.0	1024.0	1024.0	1024.0	1024.0	3	token	generated_token_count
prefix_cache_on	16384	30	OutputTokenThroughput	total	10.254531	10.160845	10.353698	10.249051	10.301374	10.332769	10.351605	3	token/s	generated_tokens_div_client_wall_time
prefix_cache_on	16384	30	PrefillTokenThroughput	total	5453.329495	2679.817575	9543.12521	4137.045699	6840.085455	8461.909308	9435.00362	3	token/s	input_tokens_div_ttft_host_client_approximation
prefix_cache_on	16384	60	E2EL	total	95471.425	94921.131	95953.016	95540.128	95746.572	95870.4384	95944.75824	3	ms	client_wall_us_div_1000
prefix_cache_on	16384	60	TTFT	total	2637.114667	1260.926	3915.934	2734.484	3325.209	3679.644	3892.305	3	ms	host_client_first_nonempty_text_chunk
prefix_cache_on	16384	60	TPOT	total	90.746667	89.967	91.554	90.719	91.1365	91.387	91.5373	3	ms	response_end_minus_first_token_div_generated_tokens_minus_one
prefix_cache_on	16384	60	ITL	total	89.908	89.904	89.911	89.909	89.91	89.9106	89.91096	3	ms	host_stream_inter_chunk_median_per_request_not_runtime_native_decode_event
prefix_cache_on	16384	60	InputTokens	total	16384.0	16384.0	16384.0	16384.0	16384.0	16384.0	16384.0	3	token	submitted_input_token_count
prefix_cache_on	16384	60	OutputTokens	total	1024.0	1024.0	1024.0	1024.0	1024.0	1024.0	1024.0	3	token	generated_token_count
prefix_cache_on	16384	60	OutputTokenThroughput	total	10.725934	10.67189	10.787903	10.71801	10.752956	10.773924	10.786505	3	token/s	generated_tokens_div_client_wall_time
prefix_cache_on	16384	60	PrefillTokenThroughput	total	7723.060311	4183.931598	12993.62532	5991.624014	9492.624667	11593.225059	12853.585294	3	token/s	input_tokens_div_ttft_host_client_approximation
prefix_cache_on	16384	90	E2EL	total	92658.950667	92612.837	92689.183	92674.832	92682.0075	92686.3128	92688.89598	3	ms	client_wall_us_div_1000
prefix_cache_on	16384	90	TTFT	total	851.574	585.043	1081.57	888.109	984.8395	1042.8778	1077.70078	3	ms	host_client_first_nonempty_text_chunk
prefix_cache_on	16384	90	TPOT	total	89.742667	89.533	89.958	89.737	89.8475	89.9138	89.95358	3	ms	response_end_minus_first_token_div_generated_tokens_minus_one
prefix_cache_on	16384	90	ITL	total	89.399	89.399	89.399	89.399	89.399	89.399	89.399	3	ms	host_stream_inter_chunk_median_per_request_not_runtime_native_decode_event
prefix_cache_on	16384	90	InputTokens	total	16384.0	16384.0	16384.0	16384.0	16384.0	16384.0	16384.0	3	token	submitted_input_token_count
prefix_cache_on	16384	90	OutputTokens	total	1024.0	1024.0	1024.0	1024.0	1024.0	1024.0	1024.0	3	token	generated_token_count
prefix_cache_on	16384	90	OutputTokenThroughput	total	11.051281	11.047675	11.056783	11.049386	11.053085	11.055304	11.056635	3	token/s	generated_tokens_div_client_wall_time
prefix_cache_on	16384	90	PrefillTokenThroughput	total	20533.771424	15148.349159	28004.779136	18448.185977	23226.482557	26093.460504	27813.647273	3	token/s	input_tokens_div_ttft_host_client_approximation
prefix_cache_on	32768	30	E2EL	total	105423.882667	103414.345	107333.379	105523.924	106428.6515	106971.488	107297.1899	3	ms	client_wall_us_div_1000
prefix_cache_on	32768	30	TTFT	total	8387.898667	3453.329	13196.848	8513.519	10855.1835	12260.1822	13103.18142	3	ms	host_client_first_nonempty_text_chunk
prefix_cache_on	32768	30	TPOT	total	94.854	92.02	97.713	94.829	96.271	97.1362	97.65532	3	ms	response_end_minus_first_token_div_generated_tokens_minus_one
prefix_cache_on	32768	30	ITL	total	91.935667	91.888	91.971	91.948	91.9595	91.9664	91.97054	3	ms	host_stream_inter_chunk_median_per_request_not_runtime_native_decode_event
prefix_cache_on	32768	30	InputTokens	total	32768.0	32768.0	32768.0	32768.0	32768.0	32768.0	32768.0	3	token	submitted_input_token_count
prefix_cache_on	32768	30	OutputTokens	total	1024.0	1024.0	1024.0	1024.0	1024.0	1024.0	1024.0	3	token	generated_token_count
prefix_cache_on	32768	30	OutputTokenThroughput	total	9.715415	9.540369	9.901914	9.703961	9.802937	9.862323	9.897955	3	token/s	generated_tokens_div_client_wall_time
prefix_cache_on	32768	30	PrefillTokenThroughput	total	5273.589785	2483.017157	9488.814996	3848.937202	6668.876099	8360.839437	9376.01744	3	token/s	input_tokens_div_ttft_host_client_approximation
