mode	input_cap_tokens	target_prefix_ratio_pct	cell_present	cell_status	measured_success_count	measured_request_count	generated_token_count_mismatch_count	observed_prefix_hit_rate_pct	target_vs_observed_prefix_hit_rate_delta_pct	policy
prefix_cache_on	8192	30	1	success	3	3	0	22.5	-7.5	complete_cell_required_no_silent_skip
prefix_cache_on	8192	60	1	success	3	3	0	43.8	-16.2	complete_cell_required_no_silent_skip
prefix_cache_on	8192	90	1	success	3	3	0	68.8	-21.2	complete_cell_required_no_silent_skip
prefix_cache_on	16384	30	1	success	3	3	0	23.4	-6.6	complete_cell_required_no_silent_skip
prefix_cache_on	16384	60	1	success	3	3	0	50.5	-9.5	complete_cell_required_no_silent_skip
prefix_cache_on	16384	90	1	success	3	3	0	72.9	-17.1	complete_cell_required_no_silent_skip
prefix_cache_on	32768	30	1	success	3	3	0	26.9	-3.1	complete_cell_required_no_silent_skip
prefix_cache_on	32768	60	1	success	3	3	0	55.7	-4.3	complete_cell_required_no_silent_skip
prefix_cache_on	32768	90	1	success	3	3	0	76.6	-13.4	complete_cell_required_no_silent_skip
prefix_cache_on	65536	30	1	success	3	3	0	29.0	-1.0	complete_cell_required_no_silent_skip
prefix_cache_on	65536	60	1	success	3	3	0	57.4	-2.6	complete_cell_required_no_silent_skip
prefix_cache_on	65536	90	1	success	3	3	0	81.4	-8.6	complete_cell_required_no_silent_skip
prefix_cache_on	131072	30	1	success	3	3	0	29.4	-0.6	complete_cell_required_no_silent_skip
prefix_cache_on	131072	60	1	success	3	3	0	58.3	-1.7	complete_cell_required_no_silent_skip
prefix_cache_on	131072	90	1	success	3	3	0	84.8	-5.2	complete_cell_required_no_silent_skip
prefix_cache_off	8192	30	1	success	3	3	0	0.0	-30.0	complete_cell_required_no_silent_skip
prefix_cache_off	8192	60	1	success	3	3	0	0.0	-60.0	complete_cell_required_no_silent_skip
prefix_cache_off	8192	90	1	success	3	3	0	0.0	-90.0	complete_cell_required_no_silent_skip
prefix_cache_off	16384	30	1	success	3	3	0	0.0	-30.0	complete_cell_required_no_silent_skip
prefix_cache_off	16384	60	1	success	3	3	0	0.0	-60.0	complete_cell_required_no_silent_skip
prefix_cache_off	16384	90	1	success	3	3	0	0.0	-90.0	complete_cell_required_no_silent_skip
prefix_cache_off	32768	30	1	success	3	3	0	0.0	-30.0	complete_cell_required_no_silent_skip
prefix_cache_off	32768	60	1	success	3	3	0	0.0	-60.0	complete_cell_required_no_silent_skip
prefix_cache_off	32768	90	1	success	3	3	0	0.0	-90.0	complete_cell_required_no_silent_skip
prefix_cache_off	65536	30	1	success	3	3	0	0.0	-30.0	complete_cell_required_no_silent_skip
prefix_cache_off	65536	60	1	success	3	3	0	0.0	-60.0	complete_cell_required_no_silent_skip
prefix_cache_off	65536	90	1	success	3	3	0	0.0	-90.0	complete_cell_required_no_silent_skip
prefix_cache_off	131072	30	1	success	3	3	0	0.0	-30.0	complete_cell_required_no_silent_skip
prefix_cache_off	131072	60	1	success	3	3	0	0.0	-60.0	complete_cell_required_no_silent_skip
prefix_cache_off	131072	90	1	success	3	3	0	0.0	-90.0	complete_cell_required_no_silent_skip
