input_cap_tokens	target_prefix_ratio_pct	on_cell_status	off_cell_status	on_observed_prefix_hit_rate_pct	off_observed_prefix_hit_rate_pct	observed_prefix_hit_rate_delta_on_minus_off_pct	on_target_vs_observed_prefix_hit_rate_delta_pct	off_target_vs_observed_prefix_hit_rate_delta_pct	ttft_us_median_on	ttft_us_median_off	ttft_us_median_ratio_on_div_off	tpot_us_median_on	tpot_us_median_off	tpot_us_median_ratio_on_div_off	client_wall_us_median_on	client_wall_us_median_off	client_wall_us_median_ratio_on_div_off	output_tokens_per_s_median_on	output_tokens_per_s_median_off	server_stats_max_kv_cache_usage_pct_on	server_stats_max_kv_cache_usage_pct_off	rss_max_mb_on	rss_max_mb_off	pss_max_mb_on	pss_max_mb_off	hbm_used_max_mb_on	hbm_used_max_mb_off	policy
8192	30	success	success	22.5	0.0	22.5	-7.5	-30.0	2002661.0	2173572.0	0.921369	91853.0	87976.0	1.044069	95969189.0	92173267.0	1.041182	10.670091	11.109512	2.3	2.6	5091.84375	5113.152344	4245.131836	4381.861328	57671.68	57671.68	target_prefix_ratio_is_not_observed_hit_rate_no_bottleneck_claim
8192	60	success	success	43.8	0.0	43.8	-16.2	-60.0	1395026.0	2178241.0	0.640437	89955.0	89207.0	1.008385	93329239.0	93437750.0	0.998839	10.961195	10.959168	2.0	2.6	5108.226562	5113.335938	4235.603516	4381.162109	57671.68	57671.68	target_prefix_ratio_is_not_observed_hit_rate_no_bottleneck_claim
8192	90	success	success	68.8	0.0	68.8	-21.2	-90.0	783308.0	2173995.0	0.360308	88089.0	92606.0	0.951223	90834719.0	96910040.0	0.93731	11.273223	10.566501	1.7	2.6	5108.878906	5083.835938	4360.158203	4347.942383	57671.68	57671.68	target_prefix_ratio_is_not_observed_hit_rate_no_bottleneck_claim
16384	30	success	success	23.4	0.0	23.4	-6.6	-30.0	3960314.0	4110124.0	0.963551	93794.0	91137.0	1.029154	99911689.0	97343421.0	1.026384	10.249051	10.519458	3.7	4.3	5140.402344	5132.578125	4411.504883	4374.889648	57671.68	57671.68	target_prefix_ratio_is_not_observed_hit_rate_no_bottleneck_claim
16384	60	success	success	50.5	0.0	50.5	-9.5	-60.0	2734484.0	4167365.0	0.656166	90719.0	91325.0	0.993364	95540128.0	97593781.0	0.978957	10.71801	10.492472	3.1	4.3	5100.230469	5155.335938	4376.705078	4416.087891	57671.68	57671.68	target_prefix_ratio_is_not_observed_hit_rate_no_bottleneck_claim
16384	90	success	success	72.9	0.0	72.9	-17.1	-90.0	888109.0	4185691.0	0.212177	89737.0	88996.0	1.008326	92674832.0	95228832.0	0.97318	11.049386	10.753046	2.3	4.3	5124.980469	5174.289062	4375.583984	4415.517578	57671.68	57671.68	target_prefix_ratio_is_not_observed_hit_rate_no_bottleneck_claim
32768	30	success	success	26.9	0.0	26.9	-3.1	-30.0	8513519.0	8228180.0	1.034678	94829.0	92093.0	1.029709	105523924.0	102439421.0	1.030111	9.703961	9.996152	6.6	7.7	5212.484375	5165.933594	4461.470703	4425.198242	57671.68	57671.68	target_prefix_ratio_is_not_observed_hit_rate_no_bottleneck_claim
32768	60	success	success	55.7	0.0	55.7	-4.3	-60.0	5049135.0	8052301.0	0.627043	95668.0	90126.0	1.061492	102917505.0	100251931.0	1.026589	9.949717	10.214267	5.1	7.7	5124.902344	5144.246094	4404.431641	4409.277344	57671.68	57671.68	target_prefix_ratio_is_not_observed_hit_rate_no_bottleneck_claim
32768	90	success	success	76.6	0.0	76.6	-13.4	-90.0	1642460.0	8264910.0	0.198727	90932.0	94850.0	0.958693	94666381.0	105297052.0	0.899041	10.816934	9.724869	3.7	7.7	5144.398438	5160.675781	4391.053711	4424.557617	57671.68	57671.68	target_prefix_ratio_is_not_observed_hit_rate_no_bottleneck_claim
65536	30	success	success	29.0	0.0	29.0	-1.0	-30.0	17470200.0	18308874.0	0.954193	95367.0	97051.0	0.982648	115031636.0	117592548.0	0.978222	8.901899	8.708035	12.0	14.6	5222.734375	5241.070312	4492.229492	4486.964844	57671.68	57671.68	target_prefix_ratio_is_not_observed_hit_rate_no_bottleneck_claim
