mode	cell_id	input_cap_tokens	target_prefix_ratio_pct	target_shared_prefix_tokens	output_tokens	max_model_len	server_ready	server_return_code_after_shutdown	warmup_request_count	warmup_success_count	measured_request_count	measured_success_count	failed_request_count	generated_token_count_mismatch_count	ttft_us_median	tpot_us_median	client_wall_us_median	output_tokens_per_s_median	server_stats_sample_count	server_stats_max_running_reqs	server_stats_max_waiting_reqs	server_stats_max_kv_cache_usage_pct	server_stats_max_prefix_cache_hit_rate_pct	target_vs_observed_prefix_hit_rate_delta_pct	memory_sample_count	cell_status	error	policy
prefix_cache_off	cap8192_prefix30	8192	30	2457	1024	10240	1	0	1	1	3	3	0	0	2173572.0	87976.0	92173267.0	11.109512	17	3	0	2.6	0.0	-30.0	70	success		long_context_prefix_ratio_matrix_no_bottleneck_claim
prefix_cache_off	cap8192_prefix60	8192	60	4915	1024	10240	1	0	1	1	3	3	0	0	2178241.0	89207.0	93437750.0	10.959168	18	3	0	2.6	0.0	-60.0	71	success		long_context_prefix_ratio_matrix_no_bottleneck_claim
prefix_cache_off	cap8192_prefix90	8192	90	7372	1024	10240	1	0	1	1	3	3	0	0	2173995.0	92606.0	96910040.0	10.566501	18	3	1	2.6	0.0	-90.0	74	success		long_context_prefix_ratio_matrix_no_bottleneck_claim
prefix_cache_off	cap16384_prefix30	16384	30	4915	1024	18432	1	0	1	1	3	3	0	0	4110124.0	91137.0	97343421.0	10.519458	18	3	2	4.3	0.0	-30.0	72	success		long_context_prefix_ratio_matrix_no_bottleneck_claim
prefix_cache_off	cap16384_prefix60	16384	60	9830	1024	18432	1	0	1	1	3	3	0	0	4167365.0	91325.0	97593781.0	10.492472	18	3	2	4.3	0.0	-60.0	71	success		long_context_prefix_ratio_matrix_no_bottleneck_claim
prefix_cache_off	cap16384_prefix90	16384	90	14745	1024	18432	1	0	1	1	3	3	0	0	4185691.0	88996.0	95228832.0	10.753046	18	3	0	4.3	0.0	-90.0	68	success		long_context_prefix_ratio_matrix_no_bottleneck_claim
prefix_cache_off	cap32768_prefix30	32768	30	9830	1024	34816	1	0	1	1	3	3	0	0	8228180.0	92093.0	102439421.0	9.996152	19	3	2	7.7	0.0	-30.0	73	success		long_context_prefix_ratio_matrix_no_bottleneck_claim
prefix_cache_off	cap32768_prefix60	32768	60	19660	1024	34816	1	0	1	1	3	3	0	0	8052301.0	90126.0	100251931.0	10.214267	19	3	0	7.7	0.0	-60.0	72	success		long_context_prefix_ratio_matrix_no_bottleneck_claim
prefix_cache_off	cap32768_prefix90	32768	90	29491	1024	34816	1	0	1	1	3	3	0	0	8264910.0	94850.0	105297052.0	9.724869	19	3	0	7.7	0.0	-90.0	75	success		long_context_prefix_ratio_matrix_no_bottleneck_claim
prefix_cache_off	cap65536_prefix30	65536	30	19660	1024	67584	1	0	1	1	3	3	0	0	18308874.0	97051.0	117592548.0	8.708035	20	3	2	14.6	0.0	-30.0	85	success		long_context_prefix_ratio_matrix_no_bottleneck_claim
prefix_cache_off	cap65536_prefix60	65536	60	39321	1024	67584	1	0	1	1	3	3	0	0	17880190.0	97978.0	118112023.0	8.669736	22	3	2	14.6	0.0	-60.0	85	success		long_context_prefix_ratio_matrix_no_bottleneck_claim
prefix_cache_off	cap65536_prefix90	65536	90	58982	1024	67584	1	0	1	1	3	3	0	0	17769446.0	97368.0	117377115.0	8.724017	21	3	2	14.6	0.0	-90.0	92	success		long_context_prefix_ratio_matrix_no_bottleneck_claim
prefix_cache_off	cap131072_prefix30	131072	30	39321	1024	133120	1	0	1	1	3	3	0	0	42038873.0	105975.0	150451740.0	6.806169	24	3	2	28.3	0.0	-30.0	119	success		long_context_prefix_ratio_matrix_no_bottleneck_claim
prefix_cache_off	cap131072_prefix60	131072	60	78643	1024	133120	1	0	1	1	3	3	0	0	42404059.0	103547.0	148333391.0	6.903368	24	3	2	28.3	0.0	-60.0	116	success		long_context_prefix_ratio_matrix_no_bottleneck_claim
prefix_cache_off	cap131072_prefix90	131072	90	117964	1024	133120	1	0	1	1	3	3	0	0	41686130.0	105263.0	149371075.0	6.85541	24	3	2	28.3	0.0	-90.0	117	success		long_context_prefix_ratio_matrix_no_bottleneck_claim
