case_id	mode	cell_id	request_role	request_role_index	input_cap_tokens	target_prefix_ratio_pct	target_prefix_ratio	target_shared_prefix_tokens	actual_shared_prefix_token_count	actual_input_token_count	actual_shared_prefix_ratio_pct	max_model_len	max_new_tokens	arrival_delay_ms	http_status	request_start_ns	first_token_ns	response_end_ns	ttft_us	tpot_us	decode_wall_us_after_first	client_wall_us	output_tokens_per_s	generated_token_count	stream_text_chunk_count	stream_inter_chunk_median_us	finish_reason	status	error_type	error	policy
cap8192_prefix30_warmup_01	prefix_cache_off	cap8192_prefix30	warmup	1	8192	30	0.3	2457	2457	8192	29.992676	10240	1024	0	200	1267043371821675	1267044737718843	1267129349038200	1365897	82709	84611319	85977216	11.910132	1024	1024	82653	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap8192_prefix30_measured_01	prefix_cache_off	cap8192_prefix30	measured	1	8192	30	0.3	2457	2457	8192	29.992676	10240	1024	0	200	1267129355299959	1267130507016267	1267221193845475	1151716	88647	90686829	91838545	11.150002	1024	1024	87561	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap8192_prefix30_measured_02	prefix_cache_off	cap8192_prefix30	measured	2	8192	30	0.3	2457	2457	8192	29.992676	10240	1024	100	200	1267129455955831	1267131629528003	1267221629223683	2173572	87976	89999695	92173267	11.109512	1024	1024	87536	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap8192_prefix30_measured_03	prefix_cache_off	cap8192_prefix30	measured	3	8192	30	0.3	2457	2457	8192	29.992676	10240	1024	200	200	1267129556206383	1267132355596230	1267221878408193	2799389	87510	89522811	92322201	11.09159	1024	1024	87530	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap8192_prefix60_warmup_01	prefix_cache_off	cap8192_prefix60	warmup	1	8192	60	0.6	4915	4915	8192	59.997559	10240	1024	0	200	1267347209682253	1267348608914462	1267433446292976	1399232	82929	84837378	86236610	11.874307	1024	1024	82888	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap8192_prefix60_measured_01	prefix_cache_off	cap8192_prefix60	measured	1	8192	60	0.6	4915	4915	8192	59.997559	10240	1024	0	200	1267433452605034	1267434603534602	1267526546221979	1150929	89875	91942687	93093616	10.99968	1024	1024	88500	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap8192_prefix60_measured_02	prefix_cache_off	cap8192_prefix60	measured	2	8192	60	0.6	4915	4915	8192	59.997559	10240	1024	100	200	1267433552670466	1267435730912447	1267526990420555	2178241	89207	91259508	93437750	10.959168	1024	1024	88508	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap8192_prefix60_measured_03	prefix_cache_off	cap8192_prefix60	measured	3	8192	60	0.6	4915	4915	8192	59.997559	10240	1024	200	200	1267433653322738	1267436475919388	1267527244345284	2822596	88727	90768425	93591022	10.94122	1024	1024	88506	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap8192_prefix90_warmup_01	prefix_cache_off	cap8192_prefix90	warmup	1	8192	90	0.9	7372	7372	8192	89.990234	10240	1024	0	200	1267650328254272	1267651700564048	1267736558830036	1372309	82950	84858265	86230575	11.875138	1024	1024	82710	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap8192_prefix90_measured_01	prefix_cache_off	cap8192_prefix90	measured	1	8192	90	0.9	7372	7372	8192	89.990234	10240	1024	0	200	1267736566245984	1267737713016513	1267833120473082	1146770	93262	95407456	96554227	10.605439	1024	1024	91234	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
