case_id	mode	cell_id	request_role	request_role_index	input_cap_tokens	target_prefix_ratio_pct	target_prefix_ratio	target_shared_prefix_tokens	actual_shared_prefix_token_count	actual_input_token_count	actual_shared_prefix_ratio_pct	max_model_len	max_new_tokens	arrival_delay_ms	http_status	request_start_ns	first_token_ns	response_end_ns	ttft_us	tpot_us	decode_wall_us_after_first	client_wall_us	output_tokens_per_s	generated_token_count	stream_text_chunk_count	stream_inter_chunk_median_us	finish_reason	status	error_type	error	policy
cap8192_prefix30_warmup_01	prefix_cache_on	cap8192_prefix30	warmup	1	8192	30	0.3	2457	2457	8192	29.992676	10240	1024	0	200	1262107754595360	1262109163627148	1262197245379743	1409031	86101	88081752	89490784	11.442519	1024	1024	85257	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap8192_prefix30_measured_01	prefix_cache_on	cap8192_prefix30	measured	1	8192	30	0.3	2457	2457	8192	29.992676	10240	1024	0	200	1262197252540791	1262198165152133	1262292781598625	912611	92489	94616446	95529057	10.719252	1024	1024	90457	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap8192_prefix30_measured_02	prefix_cache_on	cap8192_prefix30	measured	2	8192	30	0.3	2457	2457	8192	29.992676	10240	1024	100	200	1262197353137318	1262199355798601	1262293322327311	2002661	91853	93966528	95969189	10.670091	1024	1024	90459	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap8192_prefix30_measured_03	prefix_cache_on	cap8192_prefix30	measured	3	8192	30	0.3	2457	2457	8192	29.992676	10240	1024	200	200	1262197453430375	1262200477050015	1262293751646781	3023619	91177	93274596	96298216	10.633634	1024	1024	90449	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap8192_prefix60_warmup_01	prefix_cache_on	cap8192_prefix60	warmup	1	8192	60	0.6	4915	4915	8192	59.997559	10240	1024	0	200	1262420864331886	1262422302333680	1262509322530009	1438001	85063	87020196	88458198	11.576089	1024	1024	83646	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap8192_prefix60_measured_01	prefix_cache_on	cap8192_prefix60	measured	1	8192	60	0.6	4915	4915	8192	59.997559	10240	1024	0	200	1262509328547267	1262510035532252	1262602407332713	706984	90295	92371800	93078785	11.001433	1024	1024	89203	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap8192_prefix60_measured_02	prefix_cache_on	cap8192_prefix60	measured	2	8192	60	0.6	4915	4915	8192	59.997559	10240	1024	100	200	1262509429110286	1262510824137203	1262602758349305	1395026	89955	91934212	93329239	10.961195	1023	880	89602	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap8192_prefix60_measured_03	prefix_cache_on	cap8192_prefix60	measured	3	8192	60	0.6	4915	4915	8192	59.997559	10240	1024	200	200	1262509529382806	1262511517359063	1262603011442335	1987976	89437	91494083	93482059	10.953974	1024	1024	89186	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap8192_prefix90_warmup_01	prefix_cache_on	cap8192_prefix90	warmup	1	8192	90	0.9	7372	7372	8192	89.990234	10240	1024	0	200	1262728705455434	1262730137066125	1262814481090770	1431610	82447	84344024	85775635	11.938122	1024	1024	82136	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap8192_prefix90_measured_01	prefix_cache_on	cap8192_prefix90	measured	1	8192	90	0.9	7372	7372	8192	89.990234	10240	1024	0	200	1262814488701298	1262814998541213	1262905323421035	509839	88294	90324879	90834719	11.273223	1024	1024	87953	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
