mode	cell_id	input_cap_tokens	target_prefix_ratio_pct	line_number	avg_prompt_throughput_tokens_s	avg_generation_throughput_tokens_s	running_reqs	waiting_reqs	gpu_kv_cache_usage_pct	prefix_cache_hit_rate_pct
				147	296.9	3.6	1	0	0.9	0.0
				148	0.0	11.8	1	0	0.9	0.0
				149	0.0	11.0	1	0	0.9	0.0
				150	0.0	11.4	1	0	0.9	0.0
				151	0.0	11.6	1	0	0.9	0.0
				152	0.0	11.7	1	0	0.9	0.0
				153	0.0	11.5	1	0	0.9	0.0
				154	0.0	11.8	1	0	0.9	0.0
				158	0.0	11.7	0	0	0.0	0.0
				159	1843.0	24.0	3	0	2.3	22.5
				160	0.0	32.1	3	0	2.3	22.5
				161	0.0	32.4	3	0	2.3	22.5
				162	0.0	32.7	3	0	2.3	22.5
				163	0.0	33.3	3	0	2.3	22.5
				164	0.0	33.3	3	0	2.3	22.5
				165	0.0	33.0	3	0	2.3	22.5
				166	0.0	33.6	3	0	2.3	22.5
				167	0.0	33.3	3	0	2.3	22.5
				147	302.0	3.0	1	0	0.9	0.0
				148	0.0	12.0	1	0	0.9	0.0
				149	0.0	12.0	1	0	0.9	0.0
				150	0.0	11.9	1	0	0.9	0.0
				151	0.0	11.9	1	0	0.9	0.0
				152	0.0	11.7	1	0	0.9	0.0
				153	0.0	11.2	1	0	0.9	0.0
				154	0.0	11.5	1	0	0.9	0.0
				155	0.0	11.5	1	0	0.9	0.0
				159	1228.6	26.1	3	0	2.0	43.8
				160	0.0	33.0	3	0	2.0	43.8
				161	0.0	33.3	3	0	2.0	43.8
				162	0.0	33.3	3	0	2.0	43.8
				163	0.0	33.9	3	0	2.0	43.8
				164	0.0	33.6	3	0	2.0	43.8
				165	0.0	33.6	3	0	2.0	43.8
				166	0.0	33.9	3	0	2.0	43.8
				167	0.0	33.9	3	0	2.0	43.8
				147	300.3	3.7	1	0	0.9	0.0
				148	0.0	12.0	1	0	0.9	0.0
				149	0.0	12.1	1	0	0.9	0.0
				150	0.0	12.1	1	0	0.9	0.0
				151	0.0	12.2	1	0	0.9	0.0
				152	0.0	12.1	1	0	0.9	0.0
				153	0.0	12.2	1	0	0.9	0.0
				154	0.0	12.2	1	0	0.9	0.0
				158	512.0	18.6	3	0	1.7	68.8
				159	0.0	33.9	3	0	1.7	68.8
				160	0.0	34.2	3	0	1.7	68.8
				161	0.0	34.2	3	0	1.7	68.8
				162	0.0	33.9	3	0	1.7	68.8
				163	0.0	34.2	3	0	1.7	68.8
				164	0.0	33.9	3	0	1.7	68.8
				165	0.0	34.2	3	0	1.7	68.8
				166	0.0	33.9	3	0	1.7	68.8
				147	595.5	2.8	1	0	1.4	0.0
				148	0.0	11.9	1	0	1.4	0.0
				149	0.0	11.5	1	0	1.4	0.0
				150	0.0	11.3	1	0	1.4	0.0
				151	0.0	11.4	1	0	1.4	0.0
				152	0.0	11.1	1	0	1.4	0.0
				153	0.0	11.8	1	0	1.4	0.0
				154	0.0	11.9	1	0	1.4	0.0
				157	0.0	11.9	1	0	1.4	0.0
				161	3685.8	13.0	3	0	3.7	23.4
				162	0.0	33.3	3	0	3.7	23.4
				163	0.0	33.6	3	0	3.7	23.4
				164	0.0	33.3	3	0	3.7	23.4
				165	0.0	33.6	3	0	3.7	23.4
				166	0.0	33.6	3	0	3.7	23.4
				167	0.0	33.0	3	0	3.7	23.4
				168	0.0	29.1	3	0	3.7	23.4
				169	0.0	30.6	3	0	3.7	23.4
				170	0.0	31.2	3	0	3.7	23.4
				147	593.8	3.1	1	0	1.4	0.0
				148	0.0	12.0	1	0	1.4	0.0
				149	0.0	12.1	1	0	1.4	0.0
				150	0.0	11.9	1	0	1.4	0.0
				151	0.0	12.0	1	0	1.4	0.0
				152	0.0	12.0	1	0	1.4	0.0
				153	0.0	12.1	1	0	1.4	0.0
				154	0.0	12.0	1	0	1.4	0.0
				158	819.2	10.1	2	1	2.1	46.4
				159	1535.9	28.2	3	0	3.1	50.5
				160	0.0	33.3	3	0	3.1	50.5
