path	size_bytes	mail_ok
工作记录与进度笔记本/runtime_trace_smokes/runtime_vllm_api_streaming_perf_denominator_2026_0708_p1_029/run_context.txt	1415	true
工作记录与进度笔记本/runtime_trace_smokes/runtime_vllm_api_streaming_perf_denominator_2026_0708_p1_029/p1_029_result.json	531	true
工作记录与进度笔记本/runtime_trace_smokes/runtime_vllm_api_streaming_perf_denominator_2026_0708_p1_029/perf_pair_readout/summary.txt	1912	true
工作记录与进度笔记本/runtime_trace_smokes/runtime_vllm_api_streaming_perf_denominator_2026_0708_p1_029/perf_pair_readout/vllm_api_streaming_perf_mode_summary.tsv	861	true
工作记录与进度笔记本/runtime_trace_smokes/runtime_vllm_api_streaming_perf_denominator_2026_0708_p1_029/perf_pair_readout/vllm_api_streaming_perf_delta_summary.tsv	1238	true
工作记录与进度笔记本/runtime_trace_smokes/runtime_vllm_api_streaming_perf_denominator_2026_0708_p1_029/perf_pair_readout/vllm_api_streaming_perf_parameters.tsv	2427	true
工作记录与进度笔记本/runtime_trace_smokes/runtime_vllm_api_streaming_perf_denominator_2026_0708_p1_029/perf_pair_readout/vllm_api_streaming_perf_common_metrics.tsv	3124	true
工作记录与进度笔记本/runtime_trace_smokes/runtime_vllm_api_streaming_perf_denominator_2026_0708_p1_029/perf_pair_readout/vllm_api_streaming_perf_pair_result.json	18179	true
工作记录与进度笔记本/runtime_trace_smokes/runtime_vllm_api_streaming_perf_denominator_2026_0708_p1_029/msprof_denominator_readout/summary.txt	2406	true
工作记录与进度笔记本/runtime_trace_smokes/runtime_vllm_api_streaming_perf_denominator_2026_0708_p1_029/msprof_denominator_readout/msprof_shape_denominator_result.json	2045	true
工作记录与进度笔记本/runtime_trace_smokes/runtime_vllm_api_streaming_perf_denominator_2026_0708_p1_029/msprof_denominator_readout/msprof_shape_denominator_summary.tsv	58821	true
工作记录与进度笔记本/runtime_trace_smokes/runtime_vllm_api_streaming_perf_denominator_2026_0708_p1_029/msprof_denominator_readout/msprof_shape_denominator_by_op_type.tsv	5700	true
工作记录与进度笔记本/runtime_trace_smokes/runtime_vllm_api_streaming_perf_denominator_2026_0708_p1_029/msprof_denominator_readout/msprof_unit_mapping.tsv	827	true
工作记录与进度笔记本/runtime_trace_smokes/runtime_vllm_api_streaming_perf_denominator_2026_0708_p1_029/msprof_denominator_readout/hardware_denominator_mapping.tsv	10241	true
