mode	common_metric	stage	value	unit	policy
prefix_cache_on	Benchmark Duration	total	20701.285	ms	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	Total Requests	total	32.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	Failed Requests	total	0.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	Success Requests	total	32.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	Concurrency	total	25.288216	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	Max Concurrency	total	32.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	Request Throughput	total	1.545798	req/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	Total Input Tokens	total	220502.0	token	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	Prefill Token Throughput	total	10651.609308	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	Total generated tokens	total	2048.0	token	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	Input Token Throughput	total	10651.609308	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	Output Token Throughput	total	98.931057	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	Total Token Throughput	total	10750.540365	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	Benchmark Duration	total	37692.712	ms	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	Total Requests	total	32.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	Failed Requests	total	0.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	Success Requests	total	32.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	Concurrency	total	23.645861	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	Max Concurrency	total	32.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	Request Throughput	total	0.84897	req/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	Total Input Tokens	total	220502.0	token	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	Prefill Token Throughput	total	5849.990311	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	Total generated tokens	total	2048.0	token	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	Input Token Throughput	total	5849.990311	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	Output Token Throughput	total	54.334111	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	Total Token Throughput	total	5904.324422	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
